"","Campaign Name","Ad Set Name","Ad Name","","","","",""
"2026-06-03","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","314","10","10,3","313","32,8"
"2026-06-03","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","2 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","55","4","1,59","54","28,91"
"2026-06-03","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","2 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 01 | Cansaço, dúvida, emoção…","284","16","8,86","276","31,2"
"2026-06-03","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","288","15","9,78","288","33,96"
"2026-06-03","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","66","6","2,18","66","33,03"
"2026-06-04","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","521","32","20,85","502","40,02"
"2026-06-04","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","2 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","14","1","0,34","14","24,29"
"2026-06-04","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","2 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 01 | Cansaço, dúvida, emoção…","696","46","20,25","662","29,09"
"2026-06-04","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","759","46","23,8","746","31,36"
"2026-06-04","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","31","1","0,95","31","30,65"
"2026-06-05","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","586","29","18,08","563","30,85"
"2026-06-05","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","2 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","342","27","11,17","335","32,66"
"2026-06-05","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","2 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 01 | Cansaço, dúvida, emoção…","222","19","6,52","218","29,37"
