"","⚙️  Configuração do Cliente",""
"","Preencha uma vez. Referenciado em todas as abas.",""
"","DADOS DO CLIENTE",""
"","Nome do cliente / clínica",""
"","Sigla (ex: DR.LUAN)",""
"","Especialidade",""
"","Cidade",""
"","Gestor responsável",""
"","Ano de referência (ex: 2026)","2026"
"","METAS MENSAIS",""
"","Meta de leads gerados / mês","0"
"","Meta de leads agendados / mês","0"
"","Meta de procedimentos fechados / mês","0"
"","Ticket médio do procedimento (R$)","R$ 0,00"
"","Investimento mensal total (R$)","R$ 0,00"
"","ROAS mínimo esperado","0"
