"","📊  Painel Mensal","","","","",""
"","Selecione o mês abaixo — o painel atualiza automaticamente.","","","","",""
"","Mês:","","","","",""
"","INVESTIMENTO E CPL POR FUNIL","","","","",""
"","Funil","","","","",""
"","Meta — WhatsApp","R$ 2.551,47","0","R$ 0,00","",""
"","Meta — Lead Ads","R$ 0,00","0","R$ 0,00","",""
"","Meta — Landing Page","R$ 0,00","0","R$ 0,00","",""
"","Meta — Seguidores","R$ 637,13","336","R$ 1,90","",""
"","Google — LP","R$ 1,90","0","R$ 0,00","",""
"","TOTAL","R$ 0,00","2551,47","R$ 0,00","",""
"","FUNIL DE RESULTADOS","","","","",""
"","Etapa","","","","","Status"
"","Leads Gerados","2551,47","0","0,0%","R$ 0,00","—"
"","Leads Agendados","7","0","0,0%","R$ 0,00","—"
"","Consultas Realizadas","7","","","R$ 0,00","—"
"","Procedimentos Fechados","1","0","0,0%","R$ 0,00","—"
"","Faturamento Total (R$)","R$ 34.000,00","","","","—"
"","ROAS","0,0x","0","0,0%","","—"
"","Ticket Médio (R$)","R$ 34.000,00","R$ 0,00","","",""
