"","📊  Painel Anual — Evolução Mês a Mês","","","","","","","","","","","","",""
"","Calculado automaticamente. Visão de tendência do ano inteiro.","","","","","","","","","","","","",""
"","Métrica","","","","","","","","","","","","",""
"","INVESTIMENTO","","","","","","","","","","","","",""
"","Total Investido (R$)","R$ 0,00","R$ 0,00","R$ 1.056,23","R$ 2.551,47","R$ 3.965,11","R$ 0,00","R$ 0,00","","R$ 151,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 7.724,71"
"","Invest. Meta Ads (R$)","R$ 0,00","R$ 0,00","R$ 1.312,14","R$ 3.188,60","R$ 4.889,69","R$ 0,00","R$ 0,00","R$ 916,16","R$ 151,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.458,49"
"","Invest. Google Ads (R$)","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.008,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.008,00"
"","CPL POR FUNIL (R$)","","","","","","","","","","","","",""
"","CPL Meta WhatsApp","R$ 0,00","R$ 0,00","R$ 17,02","R$ 0,00","R$ 8,93","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 25,95"
"","CPL Meta Lead Ads","R$ 0,00","R$ 0,00","R$ 9,62","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9,62"
"","CPL Meta LP","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
"","CPL Google LP","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 367,83","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 367,83"
"","FUNIL DE RESULTADOS","","","","","","","","","","","","",""
"","Leads Gerados","0","0","89","0","444","0","0","0","0","0","0","0","533"
"","Leads Agendados","0","0","0","7","0","0","0","0","0","0","0","0","7"
"","Consultas Realizadas","0","0","0","7","0","0","0","0","0","0","0","0","7"
"","Procedimentos Fechados","0","0","0","1","0","0","0","0","0","0","0","0","1"
"","CUSTO POR ETAPA DO FUNIL (R$)","","","","","","","","","","","","",""
"","Custo por Agendado","R$ 0,00","R$ 0,00","R$ 0,00","R$ 364,50","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
"","Custo por Consulta","R$ 0,00","R$ 0,00","R$ 0,00","R$ 364,50","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
"","Custo por Fechamento","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.551,47","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
"","FATURAMENTO E ROAS","","","","","","","","","","","","",""
"","Faturamento Total (R$)","R$ 0,00","R$ 0,00","R$ 0,00","R$ 34.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 34.000,00"
"","ROAS","0,0x","0,0x","0,0x","13,3x","0,0x","0,0x","0,0x","0,0x","0,0x","0,0x","0,0x","0,0x","4,4x"
"","Ticket Médio (R$)","R$ 0,00","R$ 0,00","R$ 0,00","R$ 34.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 34.000,00"
"","Procedimentos Fechados","0","0","0","1","0","0","0","0","0","0","0","0","1"
