"","📈  Tráfego Diário — Ago Uma linha por dia. Campos amarelos = preencher. Campos cinza = calculados automaticamente. IDENTIFICAÇÃO","","META — WhatsApp","","","META — Lead Ads","","","META — Landing Page","","","META — Seguidores","","","Meta - Visitas no Perfil do Instagram","","","TOTAIS DO DIA","","","","","","","",""
"","","Obs.","","","","","","","","","","","","","","","GOOGLE — Landing Page","","","","","","","","",""
"","01/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","Invest.
(R$)","Leads","","","","","","","",""
"","02/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","03/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","04/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","05/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","06/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","07/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 23,72","2","R$ 11,86","82","R$ 0,29","","","R$ 0,00","R$ 11,86","R$ 23,72","R$ 0,50","R$ 47,44","","",""
"","08/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 26,86","6","R$ 4,48","97","R$ 0,28","","","R$ 0,00","R$ 4,48","R$ 26,86","R$ 0,17","R$ 161,16","","",""
"","09/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 33,06","6","R$ 5,51","103","R$ 0,32","","","R$ 0,00","R$ 5,51","R$ 33,06","R$ 0,17","R$ 198,36","","",""
"","10/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 42,86","22","R$ 1,95","115","R$ 0,37","","","R$ 0,00","R$ 1,95","R$ 42,86","R$ 0,05","R$ 942,92","","",""
"","11/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 39,11","9","R$ 4,35","122","R$ 0,32","","","R$ 0,00","R$ 4,35","R$ 39,11","R$ 0,11","R$ 351,99","","",""
"","12/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 38,77","12","R$ 3,23","121","R$ 0,32","","","R$ 0,00","R$ 3,23","R$ 38,77","R$ 0,08","R$ 465,24","","",""
"","13/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 43,57","7","R$ 6,22","97","R$ 0,45","","","R$ 0,00","R$ 6,22","R$ 43,57","R$ 0,14","R$ 304,99","","",""
"","14/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 41,07","14","R$ 2,93","68","R$ 0,60","","","R$ 0,00","R$ 2,93","R$ 41,07","R$ 0,07","R$ 574,98","","",""
"","15/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 35,81","13","R$ 2,75","58","R$ 0,62","","","R$ 0,00","R$ 2,75","R$ 35,81","R$ 0,08","R$ 465,53","","",""
"","16/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 26,91","10","R$ 2,69","86","R$ 0,31","","","R$ 0,00","R$ 2,69","R$ 26,91","R$ 0,10","R$ 269,10","","",""
"","17/08/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 32,93","3","R$ 10,98","87","R$ 0,38","","","R$ 0,00","R$ 10,98","R$ 32,93","R$ 0,33","R$ 98,79","","",""
"","18/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 43,74","10","R$ 4,37","129","R$ 0,34","","","R$ 0,00","R$ 4,37","R$ 43,74","R$ 0,10","R$ 437,40","","",""
"","19/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 41,07","7","R$ 5,87","132","R$ 0,31","","","R$ 0,00","R$ 5,87","R$ 41,07","R$ 0,14","R$ 287,49","","",""
"","20/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 41,25","5","R$ 8,25","146","R$ 0,28","","","R$ 0,00","R$ 8,25","R$ 41,25","R$ 0,20","R$ 206,25","","",""
"","21/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 23,59","2","R$ 11,80","90","R$ 0,26","","","R$ 0,00","R$ 11,80","R$ 23,59","R$ 0,50","R$ 47,18","","",""
"","22/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 25,11","5","R$ 5,02","88","R$ 0,29","","","R$ 0,00","R$ 5,02","R$ 25,11","R$ 0,20","R$ 125,55","","",""
"","23/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 39,44","6","R$ 6,57","181","R$ 0,22","","","R$ 0,00","R$ 6,57","R$ 39,44","R$ 0,17","R$ 236,64","","",""
"","24/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 38,77","9","R$ 4,31","135","R$ 0,29","","","R$ 0,00","R$ 4,31","R$ 38,77","R$ 0,11","R$ 348,93","","",""
"","25/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 27,34","6","R$ 4,56","93","R$ 0,29","","","R$ 0,00","R$ 4,56","R$ 27,34","R$ 0,17","R$ 164,04","","",""
"","26/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 28,15","7","R$ 4,02","92","R$ 0,31","","","R$ 0,00","R$ 4,02","R$ 28,15","R$ 0,14","R$ 197,05","","",""
"","27/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 36,01","5","R$ 7,20","119","R$ 0,30","","","R$ 0,00","R$ 7,20","R$ 36,01","R$ 0,20","R$ 180,05","","",""
"","28/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 41,96","8","R$ 5,25","171","R$ 0,25","","","R$ 0,00","R$ 5,25","R$ 41,96","R$ 0,13","R$ 335,68","","",""
"","29/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 38,85","12","R$ 3,24","113","R$ 0,34","","","R$ 0,00","R$ 3,24","R$ 38,85","R$ 0,08","R$ 466,20","","",""
"","30/08/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 60,20","19","R$ 3,17","256","R$ 0,24","","","R$ 0,00","R$ 3,17","R$ 60,20","R$ 0,05","R$ 1.143,80","","",""
