"","📈  Tráfego Diário — Set Uma linha por dia. Campos amarelos = preencher. Campos cinza = calculados automaticamente. IDENTIFICAÇÃO","","META — WhatsApp","","","META — Lead Ads","","","META — Landing Page","","","META — Seguidores","","","Meta - Visitas no Perfil do Instagram","","","TOTAIS DO DIA","","","","","","","",""
"","","Obs.","","","","","","","","","","","","","","","GOOGLE — Landing Page","","","","","","","","",""
"","01/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 35,91","10","R$ 3,59","136","R$ 0,26","Invest.
(R$)","Leads","","","","","","","",""
"","02/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 54,77","10","R$ 5,48","169","R$ 0,32","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","03/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 61,30","16","R$ 3,83","157","R$ 0,39","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","04/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 33,38","10","R$ 3,34","72","R$ 0,46","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","05/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 22,77","9","R$ 2,53","43","R$ 0,53","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","06/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 40,86","17","R$ 2,40","107","R$ 0,38","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","07/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 20,30","3","R$ 6,77","35","R$ 0,58","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","08/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","09/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","10/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","11/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","12/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","13/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","14/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
